code,start_time,home_team,visiting_team
199211120GSW,Cleveland Cavaliers,122,126
199211120NJN,Minnesota Timberwolves,84,88
198912010ATL,Utah Jazz,114,103
199011090IND,Cleveland Cavaliers,122,107
199011090LAL,Sacramento Kings,100,86
199011090MIN,Charlotte Hornets,106,77
199011090POR,Detroit Pistons,113,101
199011090WSB,Milwaukee Bucks,100,108
199411100DET,Indiana Pacers,112,110
199411100LAC,Atlanta Hawks,91,108
199411100NYK,Orlando Magic,101,99
199411100SAC,Portland Trail Blazers,84,104
199404010BOS,Washington Bullets,95,99
199710310BOS,Chicago Bulls,92,85
199710310CHH,New York Knicks,85,97
199611060BOS,Indiana Pacers,94,84
199611060CHH,Los Angeles Lakers,88,78
199611060DET,Dallas Mavericks,103,84
199611060MIA,Chicago Bulls,100,106
199611060MIL,Vancouver Grizzlies,105,89
199406010NYK,Indiana Pacers,86,93
199406030IND,New York Knicks,91,98
199406050NYK,Indiana Pacers,94,90
199004080ORL,Houston Rockets,123,146
199004080POR,San Antonio Spurs,112,105
199004090LAL,Dallas Mavericks,113,106
199004090PHO,Utah Jazz,119,115
199004090SEA,Sacramento Kings,105,106
199405010CHI,Cleveland Cavaliers,105,96
199003070MIN,Denver Nuggets,73,86
199003070NJN,Los Angeles Clippers,115,119
199003070PHI,New York Knicks,110,93
199003070WSB,Phoenix Suns,111,113
199003080CHI,Utah Jazz,94,98
199002070SEA,Phoenix Suns,124,128
199002080CHH,Utah Jazz,74,94
199002080CLE,Miami Heat,106,82
199002080DAL,Minnesota Timberwolves,90,77
199002080DEN,Chicago Bulls,123,98
199402010DEN,Chicago Bulls,98,118
199511030BOS,Milwaukee Bucks,100,101
199511030CHI,Charlotte Hornets,105,91
199511030DET,New York Knicks,100,106
199511030HOU,Golden State Warriors,110,92
199511030LAC,Phoenix Suns,112,106
199001070NYK,Los Angeles Clippers,110,109
199001080DAL,Seattle SuperSonics,110,96
199001080GSW,Denver Nuggets,139,122
199001080MIL,Charlotte Hornets,126,113
199001080ORL,San Antonio Spurs,111,102
199111060MIL,Golden State Warriors,114,120
199111060MIN,Dallas Mavericks,94,97
199111060ORL,Washington Bullets,105,88
199111060PHI,New Jersey Nets,107,105
199111060SAC,Indiana Pacers,112,102
199311100MIL,Chicago Bulls,90,91
199311100PHI,Boston Celtics,89,91
199311100PHO,San Antonio Spurs,101,93
199311100SAC,Los Angeles Lakers,112,101
199311100UTA,Atlanta Hawks,91,88
198911100PHO,Sacramento Kings,130,109
198911100UTA,San Antonio Spurs,106,92
198911100WSB,Cleveland Cavaliers,100,92
198911110ATL,Orlando Magic,148,109
198911110CHI,Seattle SuperSonics,109,102
199211120ORL,Washington Bullets,127,100
199211120SAS,Atlanta Hawks,97,104
199211120SEA,Los Angeles Lakers,114,102
199211120UTA,Phoenix Suns,91,102
199211130BOS,Philadelphia 76ers,115,126
198912010BOS,Cleveland Cavaliers,102,89
198912010IND,Orlando Magic,125,110
198912010LAL,Detroit Pistons,97,108
198912010NJN,Miami Heat,101,77
198912010PHO,Los Angeles Clippers,111,90
199011100CHI,Charlotte Hornets,105,86
199011100CLE,Philadelphia 76ers,104,88
199011100LAC,Atlanta Hawks,94,112
199011100MIA,Indiana Pacers,120,105
199011100NJN,Boston Celtics,91,105
199411110BOS,Houston Rockets,82,102
199411110LAL,Denver Nuggets,117,124
199411110MIL,Charlotte Hornets,115,123
199411110MIN,Chicago Bulls,100,112
199411110PHI,Dallas Mavericks,100,107
199404010CHI,Detroit Pistons,102,95
199404010DAL,Charlotte Hornets,104,106
199404010GSW,Minnesota Timberwolves,146,109
199404010LAL,Houston Rockets,101,88
199404010MIA,Indiana Pacers,101,91
199710310DEN,San Antonio Spurs,96,107
199710310DET,Washington Wizards,92,79
199710310HOU,Cleveland Cavaliers,94,86
199710310LAL,Utah Jazz,104,87
199710310MIA,Toronto Raptors,114,101
199611060WSB,San Antonio Spurs,96,86
199611070DEN,Houston Rockets,108,110
199611070GSW,New York Knicks,100,105
199611070NJN,Orlando Magic,95,108
199611070PHO,Seattle SuperSonics,98,103
199406080HOU,New York Knicks,85,78
199406100HOU,New York Knicks,83,91
199406120NYK,Houston Rockets,89,93
199406150NYK,Houston Rockets,91,82
199406170NYK,Houston Rockets,91,84
199004100CHH,Houston Rockets,112,115
199004100GSW,San Antonio Spurs,122,132
199004100IND,Washington Bullets,107,105
199004100LAC,Dallas Mavericks,98,90
199004100MIN,Portland Trail Blazers,94,106
199405010HOU,Portland Trail Blazers,115,104
199405010NYK,New Jersey Nets,90,81
199405010PHO,Golden State Warriors,117,111
199405020DEN,Seattle SuperSonics,110,93
199003080GSW,Cleveland Cavaliers,145,105
199003080HOU,Seattle SuperSonics,111,97
199003080MIN,Los Angeles Clippers,111,94
199003080SAC,Charlotte Hornets,111,102
199003090ATL,Seattle SuperSonics,107,97
199206030CHI,Portland Trail Blazers,122,89
199206050CHI,Portland Trail Blazers,104,115
199206070POR,Chicago Bulls,84,94
199002080HOU,Atlanta Hawks,108,110
199002080MIL,Detroit Pistons,101,104
199002080NYK,Golden State Warriors,122,118
199002080ORL,Philadelphia 76ers,101,99
199002080SAS,Indiana Pacers,100,105
199403010ATL,Minnesota Timberwolves,102,99
199402010IND,Washington Bullets,116,96
199402010MIL,Miami Heat,82,88
199402010NJN,Seattle SuperSonics,104,103
199402010NYK,Boston Celtics,114,79
199511030LAL,Denver Nuggets,98,96
199511030ORL,Cleveland Cavaliers,99,88
199511030PHI,Washington Bullets,105,103
199511030POR,Vancouver Grizzlies,80,92
199511030SAC,Minnesota Timberwolves,95,86
